file,before_bytes,after_bytes,saved_bytes
03d5005d9c6f90e0ddbd74e0a6044dd10a294251.png,9154,7896,1258
0aad18b06e7c4a219ad4e02ce20a30a8000ce2e3.png,83736,62919,20817
0d0c7dcd8f42b160b5ab6ee24347225fdca498d2.png,14952,12796,2156
10e0bfd575cba55439da2bda3bbd152de78a975c.png,546216,470694,75522
158d997ab1ed4df54146e945c591679ed99333da.png,25744,22262,3482
1656ba975036b4a5218dfd6dc4ab0ec738b97791.png,14187,12374,1813
1a2254744f1cbbd574b4da2c2df92c062ec90f58.png,19696,17304,2392
1ad0653a3ca3631abac5acc90cd9923a0f1b94df.png,85649,63032,22617
1fb65dd185c265983f2938088643cbc3df18ea24.png,1634556,1344771,289785
21e685fa29d0a2c8802414a35a2ab890ea1dd8d5.png,9565,8356,1209
285110aefb4f445cbb48fc9b1bfb88c1fdd9cb03.png,60424,51219,9205
2f44510909616febc804c6f0707e4c6a276be5e8.png,34807,26221,8586
391eb9a8a82d1f314065ccd4299a2b6c83d59f80.png,1593856,1278800,315056
39eab78aa700e43042e84f31f568076cf72ed09c.png,21527,18718,2809
3c890f8c74e8d51776aeddb8fd0cae4403e75eac.png,90127,69059,21068
4f3f43eee24aebed98d5391bda81d8fd12a64ff3.png,10659,8822,1837
51eb60a46e91ec6e9774e2a844d83d196e17d6cb.png,82231,68765,13466
54b2c1c26c899dd8c08b84ce7525bf9804cd2fcb.png,187759,126779,60980
61037fda43522912eb71f0299eab849edb7b998c.png,198345,134929,63416
64f83b93657aea6d0309dfdaec78250920fa2fa6.png,12950,11137,1813
699fcafba0a0c892477cb5c5e51ee806d027bb86.png,37283,28905,8378
764f92efc4625ae3ea01bc5aff0ea6c101c83f2c.png,8867,7188,1679
7adf84f01087a396f8aced428585d9a2d6b12c0f.png,1700333,1416980,283353
7ae13a69e45cc3b9b32185212236540486b54a5f.png,37371,32426,4945
8422047137fcbc59fa657697b9e28a3869b31afd.png,20502,17316,3186
8bf11482c6438f7833449a09978753e18bd16989.png,8790,7706,1084
92200fa0077c7171ed3876c332f80bb9adf05d4f.png,35070,27433,7637
989bad678054ec5bda24603c50e3d5b0684300cc.png,19895,17010,2885
a4adaf0b6a99f2044425fa78d03c08dc24c8163e.png,54685,47533,7152
a666235ea3051913d23d90531adcd26ad04bf497.png,20000,17250,2750
bd273e9fc386703cee3bacdb0f00172843c0fb74.png,21855,19251,2604
c17b4925c87cd8f2ce3875b028317bd6e8438f36.png,518665,434723,83942
c911ce09fb0bdc57817ef01939a5d545e8f8ecd0.png,20504,17544,2960
c9123b2a283a900d14945e8a1a404256f6554e95.png,21467,18482,2985
c98383eed604d88ac986eda5444286ae2f0f23c6.png,214835,149305,65530
d251e3a64fad7574b0e745b513c54b67f71dbe3c.png,1301172,957787,343385
d8157fb372de627ecd8d712afee3889241a32fc4.png,522778,454670,68108
d886fdba1bee09e88f5056d7e7215134ce48d65f.png,21300,18287,3013
e37616c2a18681fce27be5d1ea95a8eec7100f78.png,37294,29014,8280
ebc0d80db2cc4a35c37553e2b5b068b60b7407a1.png,35181,29643,5538
ee9c898172f5229e715f679fd3220d6686f5a4bd.png,8196,6768,1428
f8c3608ee1a5a59765e1a82c9d04742836704717.png,37087,28534,8553
ff19d0bedb24d27f1ff95f4d2b63168044d05e23.png,12998,11023,1975
